Question Number,Module number,Module name,Section,2024 Question,Integrated,Environmental issues covered,Sector,Public authorities,Supply chain only,Climate change,2023 Climate change question number,Forests change,2023 Forests question number,Water change,2023 Water Security question number,Integration,Alignment with IFRS S2,Alignment with other standard or framework,General improvement,Notes for changes,IFRS-S2,TNFD,ESRS,AFi
8.10,8,Environmental Performance – Forests,Status and progress towards deforestation- and conversion-free (DCF) volumes,Indicate whether you have monitored or estimated the deforestation and conversion of other natural ecosystems footprint for your disclosed commodities. ,No,Forests,All (except FS),No,No,n/a,n/a,Modified question ,"F1.3, F1.7",n/a,n/a,No,No,No,Yes,Restructured to avoid contradictory data being reported and collect information on reasons for not monitoring or estimating.,No,No,No,Yes
8.10.1,8,Environmental Performance – Forests,Status and progress towards deforestation- and conversion-free (DCF) volumes,Provide details on the monitoring or estimating of your deforestation and conversion footprint.,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,"F1.7, F1.3",n/a,n/a,No,No,Yes,Yes,"Updated to capture deforestation and conversion footprint in one question for both produced and sourced volumes. Also, to increase alignment with AFi. ",No,Yes,No,Yes
8.11,8,Environmental Performance – Forests,Status and progress towards deforestation- and conversion-free (DCF) volumes,"For volumes not assessed and determined as deforestation- and conversion-free (DCF), indicate if you have taken actions in the reporting year to increase production or sourcing of DCF volumes.",No,Forests,All (except FS),No,No,n/a,n/a,New question,n/a,n/a,n/a,No,No,Yes,Yes,New question to allow organizations to report on positive actions being taken to achieve DCF. Helps data users understand if progress is being made on volumes not yet determined as DCF.,No,No,No,Yes
8.11.1,8,Environmental Performance – Forests,Status and progress towards deforestation- and conversion-free (DCF) volumes,Provide details of actions taken in the reporting year to assess and increase production/sourcing of deforestation- and conversion-free (DCF) volumes.,No,Forests,All (except FS),No,n/a,n/a,n/a,New question,"F8.1, F8.2",n/a,n/a,No,No,Yes,Yes,New question to allow organizations to report on positive actions being taken to achieve DCF. Helps data users understand if progress is being made on volumes not yet determined as DCF. Barriers & challenges data points moved here for streamlining purposes.,No,Yes,No,Yes
8.12,8,Environmental Performance – Forests,Certified commodity volumes sold,Indicate if certification details are available for the commodity volumes sold to requesting CDP Supply Chain members.,No,Forests,All (except FS),No,Yes,n/a,n/a,Modified question,"SF1.1, F6.3, SF1.1b",n/a,n/a,No,No,No,Yes,Questions merged to reduce the reporting burden and updated to clarify data requests and improve data quality.  ,No,No,No,Yes
8.12.1,8,Environmental Performance – Forests,Certified commodity volumes sold, Provide details of the certified volumes sold to each requesting CDP Supply Chain member.,No,Forests,All (except FS),No,Yes,n/a,n/a,Modified question,SF1.1a,n/a,n/a,No,No,No,Yes,Updated question text and response options to clarify data request and improve data quality. ,No,No,No,Yes
8.13,8,Environmental Performance – Forests,Emissions,Does your organization calculate the GHG emission reductions and/or removals from land use management and land use change that have occurred in your direct operations and/or upstream value chain?,No,Forests,All (except FS),No,Yes,n/a,n/a,Modified question,SF3.1,n/a,n/a,No,No,No,Yes,Updated question text and guidance to clarify data request and improve data quality. ,No,No,No,No
8.13.1,8,Environmental Performance – Forests,Emissions,Provide details on the actions your organization has taken in its direct operations and/or upstream value chain that have resulted in reduced GHG emissions and/or enhanced removals.,No,Forests,All (except FS),No,Yes,n/a,n/a,Minor change,SF3.1a,n/a,n/a,No,No,No,Yes,Minor changes to wording of data points to improve clarity of data request and ensure alignment with the rest of the corporate questionnaire.,No,No,No,No
8.14,8,Environmental Performance – Forests,Legal Compliance ,"Indicate if you assess your own compliance and/or the compliance of your suppliers with forest regulations and/or mandatory standards, and provide details.",No,Forests,All (except FS),No,No,n/a,n/a,Modified question,"F6.5, F6.6, F6.6a",n/a,n/a,No,No,No,Yes,Updated to allow organizations to report their general legal compliance and compliance with the Brazilian Forest Code within one question. Column added to increase alignment with EUDR. ,No,No,No,Yes
8.15,8,Environmental Performance – Forests,Landscape and Jurisdictional approaches initiatives,Do you engage in landscape (including jurisdictional) initiatives to progress shared sustainable land use goals?,No,Forests,All (except FS),No,No,n/a,n/a,Minor change,F6.10,n/a,n/a,No,No,No,Yes,Updated to improve clarity on wording and collect information on reasons for not engaging.,No,No,No,Yes
8.15.1,8,Environmental Performance – Forests,Landscape and Jurisdictional approaches initiatives,Indicate the criteria you consider when prioritizing landscapes and jurisdictions for engagement in collaborative approaches to sustainable land use and provide an explanation.,No,Forests,All (except FS),No,No,n/a,n/a,Minor change,F6.10a,n/a,n/a,No,No,No,Yes,Updated to improve response options.,No,No,No,Yes
8.15.2,8,Environmental Performance – Forests,Landscape and Jurisdictional approaches initiatives,Provide details of your engagement with landscape/jurisdictional initiatives to sustainable land use during the reporting year.,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F6.10b,n/a,n/a,No,No,Yes,Yes,Updated to allow reporting on claims made about landscape or jurisdictional initiative and further details on the initiative itself.,No,Yes,No,Yes
8.15.3,8,Environmental Performance – Forests,Landscape and Jurisdictional approaches initiatives,"For each of your disclosed commodities, provide details on the disclosure volume from each of the landscapes/jurisdictions you engage in.",No,Forests,All (except FS),No,No,n/a,n/a,Minor change,F6.10c,n/a,n/a,No,No,No,Yes,Updated to improve clarity on wording and quality of data in volume reporting.,No,No,No,Yes
8.16,8,Environmental Performance – Forests,External Activities,"Do you participate in any other external activities to support the implementation of your policies and commitments related to deforestation, ecosystem convesion, or human rights issues in commodity value chains?",No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F6.11,n/a,n/a,No,No,No,Yes,Updated to facilitate scoring.,No,No,No,Yes
8.16.1,8,Environmental Performance – Forests,External Activities,"Provide details of the external activities to support the implementation of your policies and commitments related to deforestation, ecosystem conversion, or human rights issues in commodity value chains.",No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F6.11,n/a,n/a,No,No,No,Yes,Updated to facilitate scoring. “Initiatives” column removed as it is now covered in module 4 Governance.,No,Yes,No,Yes
8.17,8,Environmental Performance – Forests,Ecosystem restoration projects,Is your organization supporting or implementing project(s) focused on ecosystem restoration and long-term protection?,No,Forests,All (except FS),No,No,n/a,n/a,No Change,F6.12 ,n/a,n/a,No,No,No,No,No change question,No,No,No,Yes
8.17.1,8,Environmental Performance – Forests,Ecosystem restoration projects,"Provide details on your project(s), including the extent, duration, and monitoring frequency. Please specify any measured outcome(s).",No,Forests,All (except FS),No,No,n/a,n/a,No change,F6.12a,n/a,n/a,No,No,No,No,No change question,No,Yes,No,Yes
9.1,9,Environmental Performance,Exclusions,Are there any exclusions from your disclosure of water-related data?,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,W0.6 ,No,No,No,Yes,Question text updated in alignment with Forests question.,No,No,No,No
9.1.1,9,Environmental Performance – Water Security,Exclusions,Provide details on these exclusions.,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question, W0.6a,No,No,No,Yes,"Updated to improve reporting, clarity and rationale on exclusions of water-related data from disclosure.",No,No,No,No
9.2,9,Environmental Performance – Water Security,Company-wide water accounting,"Across all your operations, what proportion of the following water aspects are regularly measured and monitored?",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W1.2,No,No,No,No,No change question,No,No,Yes,No
9.2.1,9,Environmental Performance – Water Security,Company-wide water accounting,"For your hydropower operations, what proportion of the following water aspects are regularly measured and monitored?",No,Water,EU,No,No,n/a,n/a,n/a,n/a,No change,W-EU1.2a,No,No,No,No,No change question,No,No,No,No
9.2.2,9,Environmental Performance – Water Security,Company-wide water accounting,"What are the total volumes of water withdrawn, discharged, and consumed across all your operations, how do they compare to the previous reporting year, and how are they forecasted to change?",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W1.2b,No,No,No,No,No change question,No,Yes,Yes,No
9.2.3,9,Environmental Performance – Water Security,Company-wide water accounting,"In your oil & gas sector operations, what are the total volumes of water withdrawn, discharged, and consumed (by business division), how do they compare to the previous reporting year, and how are they forecasted to change?",No,Water,OG,No,No,n/a,n/a,n/a,n/a,No change,W-OG1.2c,No,No,No,No,No change question,No,No,No,No
9.2.4,9,Environmental Performance – Water Security,Company-wide water accounting,"Indicate whether water is withdrawn from areas with water stress, provide the volume, how it compares with the previous reporting year, and how it is forecasted to change.",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,W1.2d,No,No,No,Yes,"Updated to request the volume of withdrawals from water stressed areas, instead of the proportion, which is now auto calculated. This improves data accuracy and reduces reporting effort. ",No,Yes,Yes,No
9.2.5,9,Environmental Performance – Water Security,Company-wide water accounting,What proportion of the produced agricultural commodities that are significant to your organization originate from areas with water stress?,No,Water,"AC, FB",No,No,n/a,n/a,n/a,n/a,Modified question,"W-FB1.2e/W-AC1.2e, W-FB1.2f/W-AC1.2f",No,No,No,Yes,"Updated to implement fixed rows based on selections of commodities in module 1, streamlining reporting and facilitating scoring.",No,No,No,No
9.2.6,9,Environmental Performance – Water Security,Company-wide water accounting,What proportion of the sourced agricultural commodities that are significant to your organization originate from areas with water stress?,No,Water,"AC, FB",No,No,n/a,n/a,n/a,n/a,Modified question,"W-FB1.2e/W-AC1.2e, W-FB1.2g/W-AC1.2g",No,No,No,Yes,"Updated to implement fixed rows based on selections of commodities in module 1, streamlining reporting and facilitating scoring.",No,No,No,No
9.2.7,9,Environmental Performance – Water Security,Company-wide water accounting,Provide total water withdrawal data by source.,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W1.2h,No,No,No,No,No change question,No,Yes,No,No
9.2.8,9,Environmental Performance – Water Security,Company-wide water accounting,Provide total water discharge data by destination.,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W1.2i,No,No,No,No,No change question,No,Yes,No,No
9.2.9,9,Environmental Performance – Water Security,Company-wide water accounting,"Within your direct operations, indicate the highest level(s) to which you treat your discharge.",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W1.2j,No,No,No,No,No change question,No,Yes,No,No
9.2.10,9,Environmental Performance – Water Security,Company-wide water accounting,"Provide details of your organization’s emissions of nitrates, phosphates, pesticides, and other priority substances to water in the reporting year.",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,Additional guidance,W1.2k,No,No,No,Yes,Additional guidance added.,No,Yes,Yes,No
9.3,9,Environmental Performance – Water Security,Facility-level water accounting & verification,"In your direct operations and upstream value chain, what is the number of facilities where you have identified substantive water-related dependencies, impacts, risks, and opportunities?",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,"W4.1, W4.1b,",No,No,No,Yes,"New datapoints on value chain stage and identification of facilities in this value chain stage. These will provide a broader indication of facilities that could have water-related dependencies, impacts, risks and/or opportunities and improve data collection on different stages of the value chain. ",No,Yes,Yes,No
9.3.1,9,Environmental Performance – Water Security,Facility-level water accounting & verification,"For each facility referenced in 9.3, provide coordinates, water accounting data, and a comparison with the previous reporting year.",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,W5.1,No,No,No,Yes,"New datapoints on value chain stage, water-related dependencies, impacts, risks and/or opportunities identified at this facility, and indication of withdrawals or discharges in the facility. These will reduce reporting effort, provide a broader indication of facilities that could have water-related dependencies, impacts, risks and/or opportunities and improve data collection on different stages of the value chain. ",No,Yes,Yes,No
9.3.2,9,Environmental Performance – Water Security,Facility-level water accounting & verification,"For the facilities in your direct operations referenced in 9.3.1, what proportion of water accounting data has been third party verified?",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,W5.1a,No,No,No,Yes,"Updated to specify the question is not asking about verification of water accounting data across the entire organization, but only of the facilities within direct operations. ",No,No,No,No
9.4,9,Environmental Performance – Water Security,Impact of facilities on CDP supply chain members (SC only),Could any of your facilities reported in 9.3.1 have an impact on a requesting CDP supply chain member?,No,Water,All (except FS),No,Yes,n/a,n/a,n/a,n/a,No change,SW1.1,No,No,No,No,No change question,No,No,No,No
9.4.1,9,Environmental Performance – Water Security,Impact of facilities on CDP supply chain members (SC only),Indicate which of the facilities referenced in 9.3.1 could impact a requesting CDP supply chain member.,No,Water,All (except FS),No,Yes,n/a,n/a,n/a,n/a,No change,SW1.1a,No,No,No,No,No change question,No,No,No,No
9.5,9,Environmental Performance – Water Security,Water efficiency and water intensity,Provide a figure for your organization's total water withdrawal efficiency.,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,W1.3,No,No,No,Yes,Updated to reduce reporting effort and improve data quality using the auto-calculation function.,No,Yes,No,No
9.6,9,Environmental Performance – Water Security,Water efficiency and water intensity,Do you calculate water intensity for your activities in the chemical sector?,No,Water,CH,No,No,n/a,n/a,n/a,n/a,No change,W-CH1.3,No,No,No,No,No change question,No,No,No,No
9.6.1,9,Environmental Performance – Water Security,Water efficiency and water intensity,"For your top five products by production weight/volume, provide the following water intensity information associated with your activities in the chemical sector.",No,Water,CH,No,No,n/a,n/a,n/a,n/a,No change,W-CH1.3a,No,No,No,No,No change question,No,No,No,No
9.7,9,Environmental Performance – Water Security,Water efficiency and water intensity,Do you calculate water intensity for your electricity generation activities?,No,Water,EU,No,No,n/a,n/a,n/a,n/a,No change,W-EU1.3,No,No,No,No,No change question,No,No,No,No
9.7.1,9,Environmental Performance – Water Security,Water efficiency and water intensity,Provide the following intensity information associated with your electricity generation activities.,No,Water,EU,No,No,n/a,n/a,n/a,n/a,No change,W-EU1.3a,No,No,No,No,No change question,No,No,No,No
9.8,9,Environmental Performance – Water Security,Water efficiency and water intensity,Provide water intensity information for each of the agricultural commodities significant to your organization that you produce.,No,Water,"AC, FB",No,No,n/a,n/a,n/a,n/a,Modified question,"W-FB1.3/W-AC1.3, W-FB1.3a/W-AC1.3a",No,No,No,Yes,"Updated to implement fixed rows based on selections of commodities in module 1, streamlining reporting and facilitating scoring.",No,No,No,No
9.9,9,Environmental Performance – Water Security,Water efficiency and water intensity,Provide water intensity information for each of the agricultural commodities significant to your organization that you source.,No,Water,"AC, FB",No,No,n/a,n/a,n/a,n/a,Modified question,"W-FB1.3/W-AC1.3, W-FB1.3b/W-AC1.3b",No,No,No,Yes,"Updated to implement fixed rows based on selections of commodities in module 1, streamlining reporting and facilitating scoring.",No,No,No,No
9.10,9,Environmental Performance – Water Security,Water efficiency and water intensity,Do you calculate water intensity information for your metals and mining activities?,No,Water,"CO, MM",No,No,n/a,n/a,n/a,n/a,No change,W-MM1.3/W-CO1.3,No,No,No,No,No change question,No,No,No,No
9.10.1,9,Environmental Performance – Water Security,Water efficiency and water intensity,"For your top 5 products by revenue, provide the following intensity information associated with your metals and mining activities.",No,Water,"CO, MM",No,No,n/a,n/a,n/a,n/a,No change,W-MM1.3a/W-CO1.3a,No,No,No,No,No change question,No,No,No,No
9.11,9,Environmental Performance – Water Security,Water efficiency and water intensity,Do you calculate water intensity for your activities associated with the oil & gas sector?,No,Water,OG,No,No,n/a,n/a,n/a,n/a,No change,W-OG1.3,No,No,No,No,No change question,No,No,No,No
9.11.1,9,Environmental Performance – Water Security,Water efficiency and water intensity,Provide water intensity information associated with your activities in the oil & gas sector.,No,Water,OG,No,No,n/a,n/a,n/a,n/a,No change,W-OG1.3a,No,No,No,No,No change question,No,No,No,No
9.12,9,Environmental Performance – Water Security,Water intensities of products (SC only),Provide any available water intensity values for your organization’s products or services.,No,Water,All (except FS),No,Yes,n/a,n/a,n/a,n/a,No change,SW3.1,No,No,No,No,No change question,No,No,No,No
9.13,9,Environmental Performance – Water Security,Products and services,Do any of your products contain substances classified as hazardous by a regulatory authority?,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W1.4,No,No,No,No,No change question,No,No,No,No
9.13.1,9,Environmental Performance – Water Security,Products and services,What percentage of your company’s revenue is associated with products containing substances classified as hazardous by a regulatory authority?,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W1.4a,No,No,No,No,No change question,No,No,Yes,No
9.14,9,Environmental Performance – Water Security,Products and services,Do you classify any of your current products and/or services as low water impact?,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W7.5,No,No,No,No,No change question,No,No,No,No
9.15,9,Environmental Performance – Water Security,Water-related targets,Do you have any water-related targets?,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W8.1,No,No,No,No,No change question,No,No,Yes,No
9.15.1,9,Environmental Performance – Water Security,Water-related targets,"Indicate whether you have targets relating to water pollution, water withdrawals, WASH, or other water-related categories.",No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W8.1a,No,No,No,No,No change question,No,Yes,Yes,No
9.15.2,9,Environmental Performance – Water Security,Water-related targets,Provide details of your water-related targets and the progress made.,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,W8.1b,No,No,No,Yes,"Updated to include new datapoints on global environmental treaties or frameworks aligned with the target, plans for achieving target, and actions which contributed the most to achieving the target.",No,Yes,Yes,No
9.15.3,9,Environmental Performance – Water Security,Water-related targets,Why do you not have water-related target (s) and what are your plans to develop these in the future?,No,Water,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W8.1c,No,No,No,No,No change question,No,No,Yes,No
10.1,10,Environmental Performance – Plastics,Targets,"Do you have plastics-related targets, and if so what type?",No,Plastics,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,W10.4,No,No,No,Yes,"New targets added on Extended Producer Responsibility, end-of-life management, elimination of single-use plastic packaging/products, reduction/elimination of hazardous substances which are all key issues to reduce plastic pollution/waste and produce and manage plastics in a sustainable way to reduce impacts to the environment and human health.",No,Yes,Yes,No
10.2,10,Environmental Performance – Plastics,Activities,Indicate whether your organization engages in the following activities.,No,Plastics,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,W10.5,No,No,No,Yes,Update to expand the scope to cover more plastics-related activities and the entire value chain.,No,No,No,No
10.3,10,Environmental Performance – Plastics,Metrics for the production of plastic polymers,Provide the total weight of plastic polymers sold and indicate the raw material content.,No,Plastics,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,W10.6,No,No,Yes,No,Language changed from 'pre-industrial recycled content' to 'post-consumer recycled content' to align with EMF Global Commitment. This language is more commonly used and more widely accepted. ,No,Yes,Yes,No
10.4,10,Environmental Performance – Plastics,Metrics for durable goods and durable components,"Provide the total weight of plastic durable goods and durable components produced, sold and/or used and indicate the raw material content.",No,Plastics,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,W10.7,No,No,Yes,Yes,Updated to expand the scope to cover more plastics-related activities and the entire value chain. Partially aligns with ESRS E5: Circular Economy and Resource Use and WWF ReSource Tracker.,No,Yes,Yes,No
10.5,10,Environmental Performance – Plastics,Metrics for plastic packaging,Provide the total weight of plastic packaging sold and/or used and indicate the raw material content.,No,Plastics,All (except FS),No,No,n/a,n/a,n/a,n/a,Modified question,W10.8,No,No,Yes,No,Language changed from 'pre-industrial recycled content' to 'post-consumer recycled content' to align with EMF Global Commitment. This language is more commonly used and more widely accepted.  ,No,Yes,Yes,No
10.5.1,10,Environmental Performance – Plastics,Metrics for plastic packaging,Indicate the circularity potential of the plastic packaging you sold and/or used.,No,Plastics,All (except FS),No,No,n/a,n/a,n/a,n/a,No change,W10.8a,No,No,No,No,No change question,No,Yes,Yes,No
10.6,10,Environmental Performance – Plastics,Metrics for end-of-life management ,"Provide the total weight of waste generated by the plastic you produce, commercialize, use and/or process and indicate the end-of-life management pathways.",No,Plastics,All (except FS),No,No,n/a,n/a,n/a,n/a,New question,n/a,No,No,Yes,Yes,"Allows full coverage of the value chain by asking for disclosure on the end-of-life management stage. Aligns with ESRS E5: Circular Economy and Resource Use, GRI 306: Waste and WWF ReSource Tracker.",No,Yes,Yes,No
11.1,11,Environmental Performance – Biodiversity,Exclusions,"Within your reporting boundary, are there any geographical areas, business units or mining projects excluded from your disclosure of biodiversity-related data?",No,Biodiversity,M-B,No,No,n/a,n/a,No change ,F-MM0.10/F-CO0.10,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.1.1,11,Environmental Performance – Biodiversity,Exclusions,Please report your exclusions and describe their potential for biodiversity-related risk.,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM0.10a/F-CO0.10a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.2,11,Environmental Performance – Biodiversity,Actions on biodiversity-related commitments,What actions has your organization taken in the reporting year to progress your biodiversity-related commitments?,No,Biodiversity,All (except FS),No,No,Modified guidance,C15.5,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
11.3,11,Environmental Performance – Biodiversity,Biodiversity Indicator,Does your organization use biodiversity indicators to monitor performance across its activities?,No,Biodiversity,All (except FS),No,No,No change ,C15.6,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
11.4,11,Environmental Performance – Biodiversity,Areas important for biodiversity,Does your organization have activities located in or near to areas important for biodiversity in the reporting year?,No,Biodiversity,All (except FS),No,No,Modified question,"C15.4, C15.4a",Modified question,F-MM9.3/F-CO9.3,n/a,n/a,No,No,Yes,No,"Updated to merge the C15.4/4a with F-MM9.3/C-CO9.3 (not integration as this question falls under biodiversity only).

Wording ""Areas important for biodiversity"" used in-line with TNFD.",No,No,Yes,No
11.4.1,11,Environmental Performance – Biodiversity,Areas important for biodiversity,Provide details of your organization’s activities in the reporting year located in or near to areas important for biodiversity.,No,Biodiversity,All (except FS),No,No,Modified question,C15.4a,Modified question,F-MM9.3a/F-CO9.3a,n/a,n/a,No,No,Yes,No,"Updated to merge the C15.4/4a with F-MM9.3/C-CO9.3 (not integration as this question falls under biodiversity only).

Wording ""Areas important for biodiversity"" used in-line with TNFD.",No,Yes,Yes,No
11.5,11,Environmental Performance – Biodiversity,Land resourced and land disturbed,Can you disclose the mining project area and the area of land disturbed for each of your mining projects?,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM9.2/F-CO9.2,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.5.1,11,Environmental Performance – Biodiversity,Land resourced and land disturbed,Provide details on the mining project area and the area of land disturbed for each of your mining projects.,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM9.2a/F-CO9.2a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.6,11,Environmental Performance – Biodiversity,Artisanal and small-scale mining ASM,Are there artisanal and small-scale mining (ASM) operations active in your mining project areas or in their area of influence?,No,Biodiversity,M-B,No,No,n/a,n/a,No change ,F-MM9.4/F-CO9.4,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.6.1,11,Environmental Performance – Biodiversity,Artisanal and small-scale mining ASM,"Provide details on artisanal and small-scale mining operations active in your mining project areas or in their area of influence. Indicate the associated challenges, if there are any.",No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM9.4a/F-CO9.4a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.7,11,Environmental Performance – Biodiversity,Biodiversity Action Plan (BAP),Do you adopt biodiversity action plans to manage your impacts on biodiversity?,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM10.3/F-CO10.3,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.7.1,11,Environmental Performance – Biodiversity,Biodiversity Action Plan (BAP),Describe your criteria for defining which sites are required to produce biodiversity action plans.,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM10.3a/F-CO10.3a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.8,11,Environmental Performance – Biodiversity,Biodiversity Action Plan (BAP),Provide details on mining projects that are required to produce Biodiversity Action Plans.,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.2/F-CO14.2,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.9,11,Environmental Performance – Biodiversity,Impacts on biodiversity,"Have any of your projects caused, or have the potential to cause, significant adverse impact(s) on biodiversity?",No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM11.1/F-CO11.1,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.9.1,11,Environmental Performance – Biodiversity,Impacts on biodiversity,"For your disclosed mining projects, provide details of the significant adverse impacts on biodiversity, with the respective response to the impact.",No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM11.1a/F-CO11.1a,n/a,n/a,No,No,No,No,No change question,No,No,#N/A,No
11.10,11,Environmental Performance – Biodiversity,Strategic business plan,"Are biodiversity issues integrated into any aspects of your long-term strategic business plan, and if so how?",No,Biodiversity,M-B,No,No,n/a,n/a,No change ,F-MM13.1/F-CO13.1,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.11,11,Environmental Performance – Biodiversity,Biodiversity-related targets,Have you specified any measurable and time-bound targets related to your commitment(s) to reduce or avoid impacts on biodiversity?,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.1/F-CO14.1,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.11.1,11,Environmental Performance – Biodiversity,Biodiversity-related targets,"Provide details of your targets related to your commitments to reduce or avoid impacts on biodiversity, and progress made.",No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.1a/F-CO14.1a,n/a,n/a,No,No,No,No,No change question,No,No,#N/A,No
11.12,11,Environmental Performance – Biodiversity,Mitigation hierarchy,Has your organization adopted avoidance and/or minimization as strategies to prevent or mitigate significant adverse impacts on biodiversity?,No ,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.3/F-CO14.3,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.12.1,11,Environmental Performance – Biodiversity,Mitigation hierarchy,Provide relevant company-specific examples of your implementation of avoidance and minimization actions to manage adverse impacts on biodiversity.,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.3a/F-CO14.3a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.13,11,Environmental Performance – Biodiversity,Mitigation hierarchy,Have significant impacts on biodiversity been mitigated through restoration?,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.4/F-CO14.4,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.13.1,11,Environmental Performance – Biodiversity,Mitigation hierarchy,Provide details on restoration actions you have in place in your sites.,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.4a/F-CO14.4a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.14,11,Environmental Performance – Biodiversity,Additional conservation actions,Have significant residual impacts of your projects been compensated through biodiversity offsets?,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.5/F-CO14.5,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.14.1,11,Environmental Performance – Biodiversity,Additional conservation actions,Provide details on the biodiversity offsets you have in place.,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.5a/ F-CO14.5a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.15,11,Environmental Performance – Biodiversity,Additional conservation actions,Is your organization implementing or supporting additional conservation actions?,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.6/F-CO14.6,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.15.1,11,Environmental Performance – Biodiversity,Additional conservation actions,Provide details on the main additional conservation actions you are implementing or supporting.,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.6a/F-CO14.6a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.16,11,Environmental Performance – Biodiversity,Closure and rehabilitation,Do your mining projects have closure plans in place?,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.7/F-CO14.7,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.16.1,11,Environmental Performance – Biodiversity,Closure and rehabilitation,Please provide details on mines with closure plans.,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.7a/F-MCO14.7a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.17,11,Environmental Performance – Biodiversity,Closure and rehabilitation,Can you disclose the area rehabilitated (in total and in the reporting year) for each of your mining projects?,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.8/F-CO14.8,n/a,n/a,No,No,No,No,No change question,No,No,No,No
